place_type,place_name,link_name,condo_link
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2117-urgent-sale-the-line-asoke-ratchada---3894215
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2148-hot-sale-life-one-wireless---3899784
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2161-urgent-sale-noble-revolve-ratchada-2---3901129
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-232-t-c-green-type-1-bedroom-1-bathroom-40-sq-m-10th-floor-sale-4-350-000-baht---3902825
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2180-urgent-sale-the-line-asoke-ratchada---3903043
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-253-ideo-ladprao-17-type-2-bedrooms-2-bathrooms-73-sq-m-7th-floor-sale-7-200-000-baht---3904065
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-255-c-style-2-bedrooms-1-bathroom-55-22-sq-m-5th-floor-sale-3-800-000-baht---3904112
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-260-rhythm-phahol-ari-type-1-bedroom-1-bathroom-45-34-sq-m-49th-floor-sale-5-790-000-baht---3905456
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-262-yensabaidee-ladprao-15-type-1-bedroom-1-bathroom-27-sq-m-floor-sale-2-100-000-baht---3905695
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/for-sale-cs08-120-parkland-grand-asoke-1br-1bath-35-31sqm-flr24-3-6m-baht-line-0807811871-khun-on---3881426
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/urgent-sale-life-asoke-property-code-tqs08-2066---3885358
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-141-t-c-green-type-1-bedroom-1-bathroom-32-sq-m-29th-floor-sale-2-690-000-baht-add-line-0807811871-khun-on---3885388
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-146-zenith-place-huay-kwang-type-2-bedrooms-1-bathroom-65-sq-m-2nd-floor-sale-3-850-000-baht-add-line-0807811871-khun-on---3886623
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2092-urgent-sale-noble-red---3889447
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2105-urgent-sale-life-ratchadapisek---3892446
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2118-urgent-sale-the-line-phahon-pradipat---3894211
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-222-the-colory-vivid-type-1-bedroom-2-bathrooms-31-5-sq-m-5th-floor-sale-2-290-000-baht---3900578
