46.7s 1 curl: /opt/conda/lib/libcurl.so.4: no version information available (required by curl)
86.3s 2 Google Chrome 114.0.5735.198
87.4s 3 ChromeDriver 114.0.5735.90 (386bc09e8f4f2e025eddae123f36f6263096ae49-refs/branch-heads/5735@{#1052})
88.1s 4 Data imported Project: 1664 records
89.2s 5 Web driver is set up
97.5s 6 1st lat and lon adjustments are calculated
113.5s 7 2nd lat and lon adjustments are calculated
113.5s 8 Start scraping geocodes ...
113.5s 9 ------------------------------
2078.0s 198 Done 188: (12.92766857106645,100.8806138928716) Avenue Residence, Bang Lamung Chonburi
2083.3s 199 Done 189: (13.637527232432392,100.5952426259578) B - Loft Lite Sukhumvit 115, Muang Samut Prakarn Samut Prakarn
2108.8s 200 Done 190: (13.658623632432393,100.6060597259578) B - Loft Sukhumvit 107, Prakarn
2114.6s 201 Done 191: (13.650688532432392,100.6055309259578) B - Loft Sukhumvit 109, Muang Samut Prakarn Samut Prakarn
2129.5s 202 Done 192: (13.63752837106645,100.5952412928716) B - Loft Sukhumvit 115, Muang Samut Prakarn Samut Prakarn
2135.2s 203 Done 193: (13.858438932432392,100.5451189259578) B Campus, Muang Nonthaburi Nonthaburi
2140.8s 204 Done 194: (13.663697632432392,100.6603588259578) B Condo, Bang Plee Samut Prakarn
2146.3s 205 Done 195: (13.657588832432392,100.6064985259578) B Loft lite sukhumvit 107, Muang Samut Prakarn Samut Prakarn
2152.2s 206 Done 196: (13.684332432432392,100.6245608259578) B Republic, Phra Khanong Bangkok
2157.3s 207 Done 197: (13.924951532432393,100.5263405259578) B-Live Tiwanon, Pak Kret Nonthaburi
2172.6s 208 Done 198: (13.768416871066451,100.6386454928716) B.R. Condo, Bang Kapi Bangkok
2187.7s 209 Done 199: (13.70840787106645,100.4117486928716) BANGKAE CITY, Bang Khae Bangkok
2192.6s 210 Done 200: (8.082434432432393,98.2870693259578) BEACHFRONT BLISS, Thalang Phuket
2197.6s 211 Done 201: (12.759255732432392,99.9680070259578) BLU Diamond Cha Am - Hua Hin, Cha-Am Petchburi
2203.5s 212 Done 202: (13.656926532432392,100.6022468259578) BRIXTON Pet & Play Sukhumvit 107, Muang Samut Prakarn Samut Prakarn
2218.2s 213 Done 203: (13.65655197106645,100.6021723928716) BROMPTON Pet Friendly Sukhumvit 107, Muang Samut Prakarn Samut Prakarn
2233.2s 214 Done 204: (13.79578847106645,100.5581823928716) BTS Residence, Chatuchak Bangkok
2247.8s 215 Done 205: (18.765500071066448,99.0137039928716) Baan  Aue Arthorn Chiang Mai (Pha Tan), Muang Chiang Mai Chiang Mai
2253.4s 216 Done 206: (13.727955532432393,100.5841277259578) Baan Ananda, Watthana Bangkok
2317.7s 217 Done 207: (12.537240732432393,99.9588127259578) Baan Aua Arthorn Hua Hin 3 Condo,
2367.2s 218 Done 208: (14.02816917106645,100.6635979928716) Baan Aua Arthorn Thatumnak
2373.0s 219 Done 209: (13.863050232432393,100.5038903259578) Baan Aua Artorn Rattanathibet (Thaeat), Muang Nonthaburi Nonthaburi
2388.0s 220 Done 210: (13.843784771066451,100.5467448928716) Baan Aue Arthorn Pracha Niwet, Muang Nonthaburi Nonthaburi
2402.7s 221 Done 211: (12.76255757106645,100.8973087928716) Baan Bang Saray, Sattahip Chonburi
2408.2s 222 Done 212: (13.770589932432392,100.6138934259578) Baan Bodin, Wang Thonglang Bangkok
2413.5s 223 Done 213: (12.755851032432393,99.9682323259578) Baan Chaan Talay, Cha-Am Petchburi
2419.2s 224 Done 214: (13.739252232432392,100.5856941259578) Baan Chan, Watthana Bangkok
2440.9s 225 Done 215: (13.732729832432392,100.5094215259578) Baan Chao Praya, Bangkok
2445.8s 226 Done 216: (12.620863832432393,101.37368342595781) Baan Chaytalay Rayong, Muang Rayong Rayong
2451.6s 227 Done 217: (13.711671832432392,100.6150743259578) Baan Chom Dao Condominium, Suan Luang Bangkok
2535.2s 228 Done 218: (18.76880333243239,98.9874844259578) Baan Eua Ar Thorn Chiang Mai (Nong Hoi) CondoMuang Chiang Mai Chiang Mai
2595.6s 229 Done 219: (13.595252032432393,100.6071685259578) Baan Eua Ar Thorn Kha Jon Wit CondoMuang Samut Prakarn Samut Prakarn
2630.4s 230 Done 220: (13.883568571066451,100.5341495928716) Baan Eua Ar Thorn Nonthaburi (Wad Ku 2), Nonthaburi
