project_id,project_name,address,ceiling_height,completed_on,no_building,no_floor,total_units,utility_fee,bicycle_parking,cctv,convenience_store,fingerprint_access_control,fitness,jacuzzi,keycard_access_control,kids_playground,library,lift,massage_room,park_bbq_areas,parking,restaurant,sauna,security,shuttle_service,steam_room,swimming_pool,wifi,lat,lon,gg_address,province,district
262,Baan Ruenrom,Cha-Am Petchburi,,,1.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.831985132432392,99.9968856259578,"RXJW+QQR, Bang Kao, Cha-am District, Phetchaburi, Thailand",Phetchaburi,Cha-am
263,Baan Samsen,Dusit Bangkok,- m.,2010.0,1.0,8.0,78.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.791016332432392,100.5162448259578,"79 Samsen Rd, Dusit, Dusit District, Bangkok 10300, Thailand",Bangkok,Dusit
264,Baan San Kraam,Cha-Am Petchburi,- m.,2013.0,13.0,4.0,266.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,12.663211932432391,99.9567300259578,"แสนครามคอมโด Cha-am, Cha-am District, Phetchaburi 76120, Thailand",Phetchaburi,Cha-am
265,Baan San Ngam HuaHin,Cha-Am Petchburi,2.6 m.,2014.0,11.0,7.0,293.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,12.649523632432391,99.9554157259578,"JXX4+R57, บ้านแสนงาม หัวหิน Baan San Ngam Huahin, Phetkasem Road, Cha-am, Phetchaburi 76120, Thailand",Phetchaburi,Cha-am
266,Baan San Suk,Hua Hin Prachaubkirikhan,,,8.0,4.0,283.0,,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,12.528567332432392,99.9692129259578,"GXH9+CMG, Baan Sansuk Condo, Petchakasem Road, Hua Hin District, Prachuap Khiri Khan 77110, Thailand",Prachuap Khiri Khan,Hua Hin
267,Baan Sandao Hua Hin,Hua Hin Prachaubkirikhan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.558900432432392,99.9609603259578,"Opposite Hua Hin Market Village, Hua Hin, Prachuap Khiri Khan 77110, Thailand",Prachuap Khiri Khan,Hua Hin
268,Baan Sansiri,Pathum Wan Bangkok,,1993.0,1.0,24.0,32.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.740148732432392,100.5420722259578,"PGRR+3R8, Bangkok, Pathum Wan, จังหวัด กรุงเทพมหานคร 10330, Thailand",Bangkok,Pathum Wan
269,Baan Saraan Sukhumvit 31,Watthana Bangkok,,2007.0,1.0,8.0,42.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,13.745953932432393,100.5691153259578,"194, ซอยสวัสดี ถนนสุขุมวิท 31, แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร, 10110 10110, Thailand",Bangkok,Watthana
270,Baan Sathorn,Sathon Bangkok,,1994.0,1.0,20.0,50.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72060027106645,100.5455573928716,"57 Ngam Duphli Alley, Thung Maha Mek, Sathon, Bangkok 10120, Thailand",Bangkok,Sathon
271,Baan Sathorn Chaopraya,Khlong San Bangkok,,2005.0,1.0,37.0,400.0,30.0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,13.718917832432393,100.5091390259578,"931 1 Charoen Nakhon 15 A Alley, Khlong Ton Sai, Khlong San, Bangkok 10600, Thailand",Bangkok,Khlong San
