unit_type_id,project_id,project_name,unit_type
2371,1141,Le Rich Ratchada - Sutthisarn,1 Bedroom (35.0 - 40.0 sq.m.)
2372,1142,Le Rich Sathorn - Satupradit,Studio  (29.22 - 32.22 sq.m.)
2373,1142,Le Rich Sathorn - Satupradit,1 Bedroom (33.49 - 48.0 sq.m.)
2374,1142,Le Rich Sathorn - Satupradit,2 Bedrooms (45.56 - 68.53 sq.m.)
2375,1143,Leap Condominium,1 Bedroom (30.0 - 35.0 sq.m.)
2376,1144,Lesto Condo Sukhumvit 113 - Samrong Station,1 Bedroom (27.0 - 38.0 sq.m.)
2377,1145,Leticia Rama 9,3 Bedrooms (211.0 - 243.0 sq.m.)
2378,1145,Leticia Rama 9,Duplex (324.0 sq.m.)
2379,1145,Leticia Rama 9,1 Bedroom (55.0 - 56.0 sq.m.)
2380,1145,Leticia Rama 9,2 Bedrooms (82.0 - 100.0 sq.m.)
2381,1146,Level Bang na,Type B (30.0 sq.m.)
2382,1146,Level Bang na,Type A (42.0 sq.m.)
2383,1147,Levo Ladprao 18,2 Bedroom (43.0 sq.m.)
2384,1147,Levo Ladprao 18,1 Bedroom (27.0 - 33.0 sq.m.)
2385,1148,Liberty Park,No information
2386,1149,Liberty Park 2,No information
2387,1150,Library Houze Charan 13,1 Bedroom (26.40 - 35.45 sq.m.)
2388,1151,Life @ BTS Tha - Phra,1 Bedroom  (42.0 sq.m.)
2389,1151,Life @ BTS Tha - Phra,Studio (30.0 sq.m.)
2390,1151,Life @ BTS Tha - Phra,2 Bedroom (55.0 sq.m.)
2391,1152,Life @ Ladprao 18,Studio (35.0 sq.m.)
2392,1152,Life @ Ladprao 18,2 Bedrooms (55.0 - 70.0 sq.m.)
2393,1152,Life @ Ladprao 18,1 Bedroom  (40.0 - 45.0 sq.m.)
2394,1153,Life @ Phahon - Ari,1 Bedroom (30.50 sq.m.)
2395,1153,Life @ Phahon - Ari,2 Bedroom (64.50 sq.m.)
2396,1154,Life @ Phahon 18,No information
2397,1155,Life @ Ratchada,2 Bedroom (60.0 - 71.50 sq.m.)
2398,1155,Life @ Ratchada,Studio (33.0 sq.m.)
2399,1155,Life @ Ratchada,1 Bedroom  (40.0 sq.m.)
2400,1156,Life @ Ratchada - Huay Kwang,2 Bedrooms (55.20 - 65.20 sq.m.)
2401,1156,Life @ Ratchada - Huay Kwang,1 Bedroom (31.0 - 45.0 sq.m.)
2402,1157,Life @ Ratchada - Suthisan,No information
2403,1158,Life @ Sathorn 10,No information
2404,1159,Life @ Sukhumvit 65,2 Bedrooms (85.50 sq.m.)
2405,1159,Life @ Sukhumvit 65,1 Bedroom (41.0 sq.m.)
2406,1160,Life @ Sukhumvit 67,2 Bedroom (85.50 sq.m.)
2407,1160,Life @ Sukhumvit 67,1 Bedroom (41.0 sq.m.)
2408,1161,Life Asoke,2 Bedroom (54.0 - 0.0 sq.m.)
2409,1161,Life Asoke,Studio (24.0 - 0.0 sq.m.)
2410,1161,Life Asoke,1 Bedroom Plus (35.0 - 0.0 sq.m.)
2411,1161,Life Asoke,1 Bedroom  (29.0 - 0.0 sq.m.)
2412,1162,Life Asoke - Rama 9,2 Bedroom (48.0 - 58.0 sq.m.)
2413,1162,Life Asoke - Rama 9,1 Bedroom Plus (35.0 - 40.0 sq.m.)
2414,1162,Life Asoke - Rama 9,1 Bedroom  (32.0 - 0.0 sq.m.)
2415,1162,Life Asoke - Rama 9,Studio (25.0 - 27.50 sq.m.)
2416,1163,Life Asoke Hype,1 Bedroom (30.0 - 32.0 sq.m.)
2417,1163,Life Asoke Hype,Studio (25.50 sq.m.)
2418,1163,Life Asoke Hype,2 Bedrooms (48.50 - 64.0 sq.m.)
2419,1163,Life Asoke Hype,1 Bedroom Plus (35.0 sq.m.)
2420,1164,Life Condo chiangmai,Studio (30.0 sq.m.)
2421,1164,Life Condo chiangmai,1 Bedroom (45.0 sq.m.)
2422,1165,Life Ladprao,1 Bedroom (35.0 - 0.0 sq.m.)
2423,1165,Life Ladprao,Studio (26.0 - 29.0 sq.m.)
2424,1165,Life Ladprao,2 Bedrooms (48.0 - 74.0 sq.m.)
2425,1166,Life Ladprao Valley,Studio (28.80 sq.m.)
2426,1166,Life Ladprao Valley,2 Bedrooms (48.60 - 66.50 sq.m.)
2427,1166,Life Ladprao Valley,1 Bedroom (35.0 - 37.0 sq.m.)
2428,1167,Life One Wireless,2 Bedrooms (63.0 sq.m.)
