place_type,place_name,link_name,num_rent,num_sale,num_avg,flag
MRT Blue line,MRT Sutthisan,mrt-sutthisan,2272,1070,1671.0,4
University/College,Rattana Bandit University (Rbac),rattana-bandit-university-rbac,2544,766,1655.0,4
BTS Sukhumvit Line,BTS Bearing,bts-bearing,2555,732,1643.5,4
Grey Line,Suan Plu Station,suan-plu-station--2,2042,1198,1620.0,4
Gold Line,Krung Thon Buri Station,krung-thon-buri-station,2174,960,1567.0,4
Bangkok,Chan Road,chan-road,2034,1074,1554.0,4
University/College,Sukhothai Thammathirat Open University,sukhothai-thammathirat-open-university,2618,484,1551.0,4
Grey Line,Kasemrat Station,kasemrat-station,1891,1207,1549.0,4
Samut Prakarn,Soi Bearing (Sukhumvit 107),soi-bearing-sukhumvit-107,2394,683,1538.5,4
Nonthaburi,Pak Kret Nonthaburi,pak-kret-nonthaburi,2591,471,1531.0,4
University/College,National Institute of Development Administration (NIDA),national-institute-of-development-administration-nida,2318,738,1528.0,4
BTS Silom Line,BTS Surasak,bts-surasak,1547,1470,1508.5,4
Bangkok,Asoke Road,asoke-road,1984,992,1488.0,4
BTS Sukhumvit Line,BTS Bang Na,bts-bang-na,2308,660,1484.0,4
BTS Sukhumvit Line,BTS Victory Monument,bts-victory-monument,1991,929,1460.0,4
MRT Blue line,MRT Tao Poon,mrt-tao-poon,2231,643,1437.0,4
School,Chonprathanwittaya School,chonprathanwittaya-school,2501,362,1431.5,4
School,Mathayom Prachaniwet school,mathayom-prachaniwet-school,2300,521,1410.5,4
BTS Sukhumvit Line,BTS Saphan Khwai,bts-saphan-khwai,1809,906,1357.5,4
University/College,Panyapiwat Institute of Management,panyapiwat-institute-of-management,2281,419,1350.0,4
MRT Orange Line,MRT Ramkhamhaeng 12,mrt-ramkhamhaeng-12,2133,561,1347.0,4
Nonthaburi,Chang Chui,chang-chui,2113,568,1340.5,4
BTS Sukhumvit Line,BTS Samrong,bts-samrong,2022,639,1330.5,4
MRT Blue line,MRT Ratchadaphisek,mrt-ratchadaphisek,1804,849,1326.5,4
Grey Line,Jamjan Station,jamjan-station,1760,864,1312.0,4
BTS Silom Line,BTS Wutthakat,bts-wutthakat,2078,539,1308.5,4
School,Benjamarachanusorn School,benjamarachanusorn-school,2144,459,1301.5,4
Bangkok,Bang Phlat,bang-phlat,2070,519,1294.5,4
School,Satri Witthaya 2 School,satri-witthaya-2-school,1980,586,1283.0,4
Bangkok,Wong Sawang Road,wong-sawang-road,1957,590,1273.5,4
International School,International Community School (ICS),international-community-school-ics,1956,574,1265.0,4
Bangkok,Yan Nawa,yan-nawa,1647,860,1253.5,4
University/College,Phranakhon Rajabhat University,phranakhon-rajabhat-university,2025,476,1250.5,4
University/College,Thammasat University,thammasat-university,1963,467,1215.0,4
School,Yothinburana School,yothinburana-school,1867,547,1207.0,4
International School,Thai-Singapore International School Srinakarin,thai-singapore-international-school-srinakarin,1921,483,1202.0,4
University/College,Kasetsart University,kasetsart-university,1806,589,1197.5,4
BTS Silom Line,BTS Krung Thon Buri,bts-krung-thon-buri,1674,688,1181.0,4
